Xing Wang
Problem: QueueControl_a
CPU Time: 12.2990 seconds
Expected Total Reward: 4389.1107 
Optimal Policy: 
 State: 0 ------> [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
State: 1 ------> [[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]
State: 2 ------> [[0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2]]
State: 3 ------> [[0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]
State: 4 ------> [[0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4]]
State: 5 ------> [[0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5]]
State: 6 ------> [[0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6]]
State: 7 ------> [[0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7]]
State: 8 ------> [[0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8]]
State: 9 ------> [[0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9]]
State: 10 ------> [[0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10]]
State: 11 ------> [[0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11]]
State: 12 ------> [[1, 11], [1, 11], [1, 11], [1, 11], [1, 11], [1, 11], [1, 11], [1, 11], [1, 11], [1, 11]]
State: 13 ------> [[2, 11], [2, 11], [2, 11], [2, 11], [2, 11], [2, 11], [2, 11], [2, 11], [2, 11], [2, 11]]
State: 14 ------> [[3, 11], [3, 11], [3, 11], [3, 11], [3, 11], [3, 11], [3, 11], [3, 11], [3, 11], [3, 11]]
State: 15 ------> [[4, 11], [4, 11], [4, 11], [4, 11], [4, 11], [4, 11], [4, 11], [4, 11], [4, 11], [4, 11]]
State: 16 ------> [[5, 11], [5, 11], [5, 11], [5, 11], [5, 11], [5, 11], [5, 11], [5, 11], [5, 11], [5, 11]]
State: 17 ------> [[6, 11], [6, 11], [6, 11], [6, 11], [6, 11], [6, 11], [6, 11], [6, 11], [6, 11], [6, 11]]
State: 18 ------> [[7, 11], [7, 11], [7, 11], [7, 11], [7, 11], [7, 11], [7, 11], [7, 11], [7, 11], [7, 11]]
State: 19 ------> [[8, 11], [8, 11], [8, 11], [8, 11], [8, 11], [8, 11], [8, 11], [8, 11], [8, 11], [8, 11]]
State: 20 ------> [[9, 11], [9, 11], [9, 11], [9, 11], [9, 11], [9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]
State: 21 ------> [[10, 11], [10, 11], [10, 11], [10, 11], [10, 11], [10, 11], [10, 11], [10, 11], [10, 11], [10, 11]]
State: 22 ------> [[11, 11], [11, 11], [11, 11], [11, 11], [11, 11], [11, 11], [11, 11], [11, 11], [11, 11], [11, 11]]
State: 23 ------> [[12, 11], [12, 11], [12, 11], [12, 11], [12, 11], [12, 11], [12, 11], [12, 11], [12, 11], [12, 11]]
State: 24 ------> [[13, 11], [13, 11], [13, 11], [13, 11], [13, 11], [13, 11], [13, 11], [13, 11], [13, 11], [13, 11]]
State: 25 ------> [[14, 11], [14, 11], [14, 11], [14, 11], [14, 11], [14, 11], [14, 11], [14, 11], [14, 11], [14, 11]]
State: 26 ------> [[15, 11], [15, 11], [15, 11], [15, 11], [15, 11], [15, 11], [15, 11], [15, 11], [15, 11], [15, 11]]
State: 27 ------> [[16, 11], [16, 11], [16, 11], [16, 11], [16, 11], [16, 11], [16, 11], [16, 11], [16, 11], [16, 11]]
State: 28 ------> [[17, 11], [17, 11], [17, 11], [17, 11], [17, 11], [17, 11], [17, 11], [17, 11], [17, 11], [17, 11]]
State: 29 ------> [[18, 11], [18, 11], [18, 11], [18, 11], [18, 11], [18, 11], [18, 11], [18, 11], [18, 11], [18, 11]]
State: 30 ------> [[19, 11], [19, 11], [19, 11], [19, 11], [19, 11], [19, 11], [19, 11], [19, 11], [19, 11], [19, 11]]
State: 31 ------> [[20, 11], [20, 11], [20, 11], [20, 11], [20, 11], [20, 11], [20, 11], [20, 11], [20, 11], [20, 11]]
State: 32 ------> [[21, 11], [21, 11], [21, 11], [21, 11], [21, 11], [21, 11], [21, 11], [21, 11], [21, 11], [21, 11]]
State: 33 ------> [[22, 11], [22, 11], [22, 11], [22, 11], [22, 11], [22, 11], [22, 11], [22, 11], [22, 11], [22, 11]]
State: 34 ------> [[23, 11], [23, 11], [23, 11], [23, 11], [23, 11], [23, 11], [23, 11], [23, 11], [23, 11], [23, 11]]
State: 35 ------> [[24, 11], [24, 11], [24, 11], [24, 11], [24, 11], [24, 11], [24, 11], [24, 11], [24, 11], [24, 11]]
State: 36 ------> [[25, 11], [25, 11], [25, 11], [25, 11], [25, 11], [25, 11], [25, 11], [25, 11], [25, 11], [25, 11]]
