Xing Wang
Problem: QueueControl_d
CPU Time: 13.0230 seconds
Expected Total Reward: 8823.0788 
Optimal Policy: 
 State: 0 ------> [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
State: 1 ------> [[0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1]]
State: 2 ------> [[0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2], [0, 2]]
State: 3 ------> [[0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3], [0, 3]]
State: 4 ------> [[0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4]]
State: 5 ------> [[0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5], [0, 5]]
State: 6 ------> [[0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6], [0, 6]]
State: 7 ------> [[0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7], [0, 7]]
State: 8 ------> [[0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8], [0, 8]]
State: 9 ------> [[0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9], [0, 9]]
State: 10 ------> [[0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10], [0, 10]]
State: 11 ------> [[0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11], [0, 11]]
State: 12 ------> [[0, 12], [0, 12], [0, 12], [0, 12], [0, 12], [0, 12], [0, 12], [0, 12], [0, 12], [0, 12]]
State: 13 ------> [[0, 13], [0, 13], [0, 13], [0, 13], [0, 13], [0, 13], [0, 13], [0, 13], [0, 13], [0, 13]]
State: 14 ------> [[0, 14], [0, 14], [0, 14], [0, 14], [0, 14], [0, 14], [0, 14], [0, 14], [0, 14], [0, 14]]
State: 15 ------> [[0, 15], [0, 15], [0, 15], [0, 15], [0, 15], [0, 15], [0, 15], [0, 15], [0, 15], [0, 15]]
State: 16 ------> [[0, 16], [0, 16], [0, 16], [0, 16], [0, 16], [0, 16], [0, 16], [0, 16], [0, 16], [0, 16]]
State: 17 ------> [[0, 17], [0, 17], [0, 17], [0, 17], [0, 17], [0, 17], [0, 17], [0, 17], [0, 17], [0, 17]]
State: 18 ------> [[0, 18], [0, 18], [0, 18], [0, 18], [0, 18], [0, 18], [0, 18], [0, 18], [0, 18], [0, 18]]
State: 19 ------> [[0, 19], [0, 19], [0, 19], [0, 19], [0, 19], [0, 19], [0, 19], [0, 19], [0, 19], [0, 19]]
State: 20 ------> [[0, 20], [0, 20], [0, 20], [0, 20], [0, 20], [0, 20], [0, 20], [0, 20], [0, 20], [0, 20]]
State: 21 ------> [[0, 21], [0, 21], [0, 21], [0, 21], [0, 21], [0, 21], [0, 21], [0, 21], [0, 21], [0, 21]]
State: 22 ------> [[0, 22], [0, 22], [0, 22], [0, 22], [0, 22], [0, 22], [0, 22], [0, 22], [0, 22], [0, 22]]
State: 23 ------> [[0, 23], [0, 23], [0, 23], [0, 23], [0, 23], [0, 23], [0, 23], [0, 23], [0, 23], [0, 23]]
State: 24 ------> [[0, 24], [0, 24], [0, 24], [0, 24], [0, 24], [0, 24], [0, 24], [0, 24], [0, 24], [0, 24]]
State: 25 ------> [[0, 25], [0, 25], [0, 25], [0, 25], [0, 25], [0, 25], [0, 25], [0, 25], [0, 25], [0, 25]]
State: 26 ------> [[0, 26], [0, 26], [0, 26], [0, 26], [0, 26], [0, 26], [0, 26], [0, 26], [0, 26], [0, 26]]
State: 27 ------> [[0, 27], [0, 27], [0, 27], [0, 27], [0, 27], [0, 27], [0, 27], [0, 27], [0, 27], [0, 27]]
State: 28 ------> [[0, 28], [0, 28], [0, 28], [0, 28], [0, 28], [0, 28], [0, 28], [0, 28], [0, 28], [0, 28]]
State: 29 ------> [[0, 29], [0, 29], [0, 29], [0, 29], [0, 29], [0, 29], [0, 29], [0, 29], [0, 29], [0, 29]]
State: 30 ------> [[0, 30], [0, 30], [0, 30], [0, 30], [0, 30], [0, 30], [0, 30], [0, 30], [0, 30], [0, 30]]
State: 31 ------> [[0, 31], [0, 31], [0, 31], [0, 31], [0, 31], [0, 31], [0, 31], [0, 31], [0, 31], [0, 31]]
State: 32 ------> [[0, 32], [0, 32], [0, 32], [0, 32], [0, 32], [0, 32], [0, 32], [0, 32], [0, 32], [0, 32]]
State: 33 ------> [[0, 33], [0, 33], [0, 33], [0, 33], [0, 33], [0, 33], [0, 33], [0, 33], [0, 33], [0, 33]]
State: 34 ------> [[0, 34], [0, 34], [0, 34], [0, 34], [0, 34], [0, 34], [0, 34], [0, 34], [0, 34], [0, 34]]
State: 35 ------> [[0, 35], [0, 35], [0, 35], [0, 35], [0, 35], [0, 35], [0, 35], [0, 35], [0, 35], [0, 35]]
State: 36 ------> [[0, 36], [0, 36], [0, 36], [0, 36], [0, 36], [0, 36], [0, 36], [0, 36], [0, 36], [0, 36]]
